"danceability","energy","acousticness","tempo","loudness"
0.575,0.934,0.0363,133.59,-4.345
0.72,0.967,0.0289,129.766,-4.434
0.646,0.781,0.208,94.975,-4.616
0.597,0.342,0.389,109.609,-8.167
0.514,0.912,0.0476,76.153,-4.238
0.562,0.939,0.046,116.044,-4.282
0.897,0.642,0.0219,127.984,-8.828
0.68,0.454,0.457,109.798,-7.464
0.839,0.73,0.0598,120.959,-9.903
0.412,0.672,0.385,77.628,-5.298
0.851,0.551,0.151,131.922,-5.177
0.394,0.901,0.000136,170.187,-2.834
0.487,0.667,0.153,145.854,-4.216
0.618,0.68,0.109,109.487,-10.679
0.753,0.488,0.769,97.943,-8.259
0.505,0.718,0.43,185.804,-4.878
0.407,0.705,0.595,158.251,-8.317
0.338,0.729,0.758,184.174,-6.419
0.457,0.785,0.548,126.947,-6.783
0.495,0.34,0.463,149.364,-14.689
0.514,0.225,0.825,80.777,-17.071
0.83,0.341,0.0922,100.001,-10.625
0.632,0.731,0.108,92.073,-11.406
0.609,0.794,0.734,136.036,-4.739
0.608,0.6,0.575,145.735,-12.372
0.764,0.716,0.748,129.639,-5.975
0.505,0.428,0.489,175.813,-5.604
0.584,0.564,0.411,144.973,-12.396
0.329,0.676,0.0366,78.217,-9.036
0.698,0.575,0.363,105.988,-7.263
0.833,0.515,0.347,97.035,-5
0.83,0.585,0.237,109.978,-6.476
0.288,0.392,0.951,92.047,-6.067
0.84,0.483,0.273,91.992,-8.838
0.85,0.674,0.309,115.005,-7.981
0.873,0.585,0.416,105.006,-6.145
0.461,0.757,0.0494,159.997,-5.01
0.701,0.781,0.0908,86.006,-8.493
0.86,0.408,0.166,75.481,-5.389
0.81,0.353,0.588,88.031,-9.931
0.317,0.562,0.124,181.1,-9.609
0.807,0.419,0.044,103.967,-8.189
0.7,0.618,0.361,83.963,-5.903
0.796,0.61,0.00842,103.99,-5.857
0.567,0.512,0.547,130.269,-8.831
0.772,0.925,0.16,113.607,-7.467
0.561,0.547,0.593,156.132,-11.13
0.519,0.61,0.0766,121.324,-10.256
0.756,0.829,0.0907,118.838,-9.29
0.72,0.555,0.122,115.986,-13.236
0.79,0.645,0.335,158.13,-5.426
0.682,0.541,0.375,91.074,-14.525
0.74,0.783,0.0297,100.011,-5.367
0.616,0.837,0.0592,132.012,-5.266
0.502,0.521,0.359,106.592,-12.9
0.886,0.336,0.557,100.044,-12.779
0.785,0.582,0.191,71.774,-4.877
0.681,0.865,0.00464,91.017,-4.132
0.538,0.426,0.581,98.846,-11.218
0.739,0.725,0.227,162.06,-4.301
0.714,0.859,0.0556,95.034,-4.634
0.544,0.371,0.861,132.972,-10.991
0.409,0.765,0.0249,83.093,-5.696
0.649,0.738,0.022,123.998,-12.486
0.678,0.676,0.342,121.097,-8.394
0.894,0.773,0.000719,92.952,-6.971
0.566,0.409,0.702,103.233,-10.379
0.661,0.493,0.187,144.105,-12.007
0.528,0.341,0.922,111.336,-12.768
0.54,0.83,0.151,112.469,-4.997
0.377,0.38,0.717,79.912,-9.121
0.67,0.766,0.0976,95.754,-11.024
0.494,0.933,0.0434,121.201,-5.977
0.685,0.873,0.152,112.262,-6.834
0.423,0.681,0.0592,110.461,-9.756
0.647,0.822,0.219,160.019,-4.662
0.646,0.362,0.724,142.46,-11.954
0.426,0.422,0.437,78.797,-11.065
0.477,0.703,0.433,135.342,-7.332
0.613,0.82,0.181,115.125,-10.175
0.642,0.805,0.000781,145.029,-7.238
0.589,0.578,0.655,148.216,-6.823
0.667,0.815,0.102,105.391,-6.706
0.348,0.441,0.447,87.522,-11.981
0.619,0.579,0.0152,127.224,-9.307
0.553,0.234,0.824,61.563,-17.234
0.607,0.662,0.0951,107.643,-9.456
0.586,0.989,0.187,134.939,-5.332
0.782,0.704,0.00603,93.517,-10.342
0.623,0.59,0.646,137.071,-5.014
0.871,0.701,0.257,126.975,-5.594
0.492,0.427,0.469,100.167,-12.935
0.772,0.561,0.333,109.438,-11.654
0.779,0.598,0.112,104.035,-14.219
0.471,0.951,0.131,169.986,-3.011
0.884,0.346,0.0151,75.016,-8.228
0.677,0.495,0.139,136.136,-10.482
0.657,0.333,0.324,135.883,-14.956
0.455,0.265,0.615,76.005,-11.402
0.528,0.645,0.786,151.403,-9.446
0.85,0.572,0.0204,93.007,-8.088
0.541,0.812,0.203,141.056,-3.764
0.827,0.658,0.0224,115.016,-3.846
0.801,0.529,0.0406,106.965,-14.875
0.808,0.701,0.157,118.47,-10.915
0.601,0.73,0.203,116.313,-11.103
0.761,0.712,0.261,101.037,-6.364
0.6,0.44,0.332,80.334,-10.79
0.595,0.447,0.627,200.528,-10.342
0.459,0.165,0.794,79.19,-16.475
0.789,0.529,0.0482,125.635,-10.983
0.414,0.174,0.617,81.119,-20.981
0.556,0.393,0.238,132.746,-6.589
0.805,0.498,0.0522,101.251,-13.751
0.84,0.68,0.0947,99.734,-6.475
0.541,0.803,0.0796,142.135,-3.284
0.588,0.58,0.319,145.37,-11.648
0.471,0.617,0.0522,182.323,-8.394
0.804,0.714,0.0567,139.663,-6.714
0.915,0.52,0.0018,119.47,-9.257
0.242,0.831,0.0242,190.078,-5.556
0.724,0.569,0.157,109.936,-11.888
0.352,0.22,0.871,97.126,-15.339
0.736,0.709,0.206,90.018,-6.057
0.681,0.939,0.0597,124.302,-6.371
0.749,0.738,0.168,141.185,-11.538
0.682,0.963,0.0186,118.937,-4.046
0.642,0.74,0.00127,132.289,-13.07
0.803,0.83,0.0144,111.033,-4.636
0.741,0.664,0.153,99.858,-9.895
0.824,0.496,0.00114,97.999,-9.24
0.843,0.48,0.28,101.993,-11.574
0.504,0.694,0.433,162.826,-7.311
0.619,0.567,0.75,104.156,-13.812
0.622,0.498,0.272,169.314,-12.957
0.519,0.414,0.0362,129.553,-18.432
0.674,0.61,0.0349,177.943,-3.546
0.724,0.441,0.586,122.077,-7.341
0.668,0.783,0.0102,131.472,-5.943
0.76,0.806,0.593,124.691,-7.286
0.696,0.611,0.664,112.837,-8.055
0.757,0.799,0.122,119.829,-6.288
0.674,0.659,0.00156,99.768,-8.049
0.549,0.526,0.812,112.349,-10.616
0.667,0.447,0.594,172.075,-11.735
0.75,0.777,0.384,120.37,-6.919
0.846,0.445,0.0731,94.228,-10.933
0.171,0.33,0.707,174.431,-9.699
0.551,0.496,0.157,105.837,-8.049
0.73,0.601,0.295,121.981,-11.625
0.627,0.859,0.0193,101.988,-6.322
0.603,0.503,0.29,168.512,-14.862
0.461,0.644,0.65,128.995,-3.012
0.712,0.369,0.436,123.781,-15.033
0.668,0.791,0.2,107.32,-10.027
0.341,0.178,0.914,138.345,-15.314
0.597,0.579,0.45,109.789,-12.394
0.556,0.592,0.315,180.645,-8.519
0.455,0.292,0.889,84.339,-6.792
0.626,0.322,0.208,155.345,-19.279
